Custom,Personalizado
Close,Fechar
Cancel,Cancelar
Back,Voltar
Product,Produto
Price,Preço
Price:,Preço:
Quantity,Quantidade
ID,ID
SKU,SKU
Customers,Clientes
No,Não
Subtotal,Subtotal
Discount,Desconto
Action,Ação
"Excl. Tax","Excl. Imposto"
Total,Total
"Incl. Tax","Incl. Imposto"
"Total incl. tax","Total incl. imposto"
Reset,Resetar
Edit,Editar
"What is this?","O que é isso?"
"Invalid Form Key. Please refresh the page.","Form Key Inválida, Por favor recarregar a página."
"You entered an invalid Secret Key. Please refresh the page.","Você entrou com uma chave secreta inválida. Por favor recarregar a página."
"Cache Storage Management","Gestão de Armazenamento de Cache"
"Flush Magento Cache","Liberar Cache do Magento"
"Cache storage may contain additional data. Are you sure that you want flush it?","Cache storage may contain additional data. Are you sure that you want flush it?"
"Flush Cache Storage","Liberar Armazenamento de Cache"
Invalidated,Inválido
Orders,Pedidos
Amounts,Quantidades
"Most Viewed Products","Mais vistos"
"New Customers","Novos Clientes"
Customer,Cliente
Guest,Convidado
Items,Itens
"Grand Total","Total"
"Grand Total:","Total:"
"Lifetime Sales","Todas as Vendas"
"Average Orders","Média de Pedidos"
"Search Term","Termo de Pesquisa"
Results,Resultados
Uses,Usos
Average,Média
"Order Quantity","Quantidade Pedidos"
Views,Visões
Revenue,Receita
Tax,Imposto
Shipping,Frete
"Images (.gif, .jpg, .png)","Imagens (.gif, .jpg, .png)"
"Media (.avi, .flv, .swf)","Mídia (.avi, .flv, .swf)"
"All Files","Todos os arquivos"
"Interface Language","Interface Language"
"Reset to Default","Resetar para o Padrão"
"All Store Views","Todas as Visões"
"Save Account","Salvar Conta"
"My Account","Minha Conta"
"Account Information","Informações de Contato"
"User Name","Nome de usuário"
"First Name","Primeiro Nome"
"Last Name","Último Nome"
Email,Email
"User Email","Email"
"New Password","Nova Senha"
"Password Confirmation","Confirmação de senha"
"Interface Locale","Interface Locale"
"Save Cache Settings","Salvar"
"Catalog Rewrites","Reescritas de Catalogo"
Refresh,Atualizar
"Images Cache","Cache das imagens"
Clear,Limpar
"Search Index","Search Index"
Rebuild,Recriar
"Inventory Stock Status","Inventory Stock Status"
"Rebuild Catalog Index","Refazer Indice de Catalogo"
