"Percent Discount","Percent Discount"
"Create New Option","Create New Option"
"Bundle Items","Itens do Pacote"
"Add Products to Option","Adicionar Produtos"
"Delete Option","Delete Option"
"Please enter search conditions to view products.","Please enter search conditions to view products."
"There is no defined renderer for ""%1"" option type.","There is no defined renderer for ""%1"" option type."
"As Low as","A partir de"
"Price Range","Faixa de Preço"
"Please specify product option(s).","Please specify product option(s)."
"Please select all required options.","Please select all required options."
"The required options you selected are not available.","The required options you selected are not available."
"We cannot add this item to your shopping cart.","We cannot add this item to your shopping cart."
N/A,N/A
Percent,Percent
Qty:,Qtd:
"Choose a selection...","Choose a selection..."
"Ship Bundle Items","Envio dos Itens"
Separately,Separado
Together,Junto
"Option Title","Título"
"Store View Title","Store View Title"
"Input Type","Tipo"
"There are no products in this option.","There are no products in this option."
"New Option","Nova Opção"
Default,Padrão
"Price Type","Tipo do Preço"
"Default Quantity","Qtd. Padrão"
"User Defined","Definido Pelo Usuário"
"As low as","As low as"
"Buy %1 with %2 discount each","Buy %1 with %2 discount each"
"Go back to product details","Go back to product details"
"Customize and Add to Cart","Customize and Add to Cart"
"* Required Fields","* Required Fields"
"Your Customization","Your Customization"
"%1 x %2","%1 x %2"
Availability:,Availability:
"Customize %1","Customize %1"
"No options of this product are available.","No options of this product are available."
"Gift Message","Mensagem do Presente"
Message:,Mensagem:
"Excl. Tax:","Excl. Tax:"
"Incl. Tax:","Incl. Tax:"
"Total Incl. Tax","Total Incl. Tax"
"Add Products to New Option","Add Products to New Option"
"Add Products to Option ""%1""","Add Products to Option ""%1"""
