Product,Product
ID,ID
SKU,SKU
Apply,Aplicar
No,Não
Yes,Sim
"Website","Website"
Status,Status
Type,Type
Actions,Ações
Rule,Regra
"Start on","Start on"
"End on","End on"
Active,Active
"This rule no longer exists.","This rule no longer exists."
Websites,Websites
"Apply Rules","Aplicar Regras"
"Catalog Price Rules","Regras de Catálogo"
"Add New Rule","Add New Rule"
"Save and Apply","Salvar e aplicar"
"Edit Rule '%1'","Editar Regra '%1'"
"New Rule","New Rule"
"Rule Information","Rule Information"
"Update Prices Using the Following Information","Update Prices Using the Following Information"
"By Percentage of the Original Price","By Percentage of the Original Price"
"By Fixed Amount","By Fixed Amount"
"To Percentage of the Original Price","To Percentage of the Original Price"
"To Fixed Amount","To Fixed Amount"
"Enable Discount to Subproducts","Enable Discount to Subproducts"
"Stop Further Rules Processing","Stop Further Rules Processing"
Conditions,Condições
"Conditions (leave blank for all products)","Conditions (leave blank for all products)"
"Rule Name","Rule Name"
Inactive,Inactive
"From Date","From Date"
"To Date","To Date"
Priority,Prioridade
"Catalog Price Rule","Regras de Catálogo"
Promotions,Promoções
Promo,Promo
"New Catalog Price Rule","Nova regra de catálogo"
"Edit Rule","Edit Rule"
"Wrong rule specified.","Wrong rule specified."
"The rule has been saved.","The rule has been saved."
"An error occurred while saving the rule data. Please review the log and try again.","An error occurred while saving the rule data. Please review the log and try again."
"The rule has been deleted.","The rule has been deleted."
"An error occurred while deleting the rule. Please review the log and try again.","An error occurred while deleting the rule. Please review the log and try again."
"Unable to find a rule to delete.","Unable to find a rule to delete."
"Unable to apply rules.","Unable to apply rules."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog."
"%1 Catalog Price Rules based on ""%2"" attribute have been disabled.","%1 Catalog Price Rules based on ""%2"" attribute have been disabled."
"Update the Product","Update the Product"
"Rule price","Rule price"
"To Fixed Value","To Fixed Value"
"To Percentage","To Percentage"
"By Fixed value","By Fixed value"
"By Percentage","By Percentage"
"Update product's %1 %2: %3","Update product's %1 %2: %3"
"Conditions Combination","Combinação de condições"
"Product Attribute","Product Attribute"
"The rules have been applied.","The rules have been applied."
"Percentage discount should be between 0 and 100.","Percentage discount should be between 0 and 100."
"Discount value should be 0 or greater.","Discount value should be 0 or greater."
"Unknown action.","Unknown action."
"Subproduct discounts","Subproduct discounts"
"Discard subsequent rules","Descartar outras regras"
"Conditions (don't add conditions if rule is applied to all products)","Condições (se não adicionar condições as regras serão aplicadas a todos os produtos)"
"Apply as percentage of original","Aplicar percentagem do valor original"
"Apply as fixed amount","Aplicar valor fixo"
"Adjust final price to this percentage","Ajustar valor final a porcentagem"
"Adjust final price to discount value","Ajustar valor final ao valor do desconto"
