Segments,Segmentos
"Add Segment","Adicionar Segmento"
"Refresh Segment Data","Atualizar Informações do Segmento"
"Edit Segment '%1'","Editar Segmento '%1'"
"New Segment","Novo Segmento"
"Segment Information","Informação do Segmento"
Conditions,Condições
"* applicable to visitors and registered customers","* aplicável aos visitantes e clientes registrados"
"General Properties","Propriedades Gerais"
"Segment Name","Nome do Segmento"
"Assigned to Website","Associado ao Site"
"Visitors and Registered Customers","Visitantes e Clientes Registrados"
"Registered Customers","Clientes Registrados"
Visitors,Visitantes
"Please save this information to specify segmentation conditions.","Por favor salve essa informação para especificar as condições da segmentação."
"Matched Customers (%1)","Clientes Correspondentes (%1)"
Segment,Segmento
"Customer Segment Report","Customer Segment Report"
"Customer Segment Report '%1'","Customer Segment Report '%1'"
"Customer Segments Report","Customer Segments Report"
To,Para
"Please request the correct customer segment.","Please request the correct customer segment."
"You deleted the segment.","You deleted the segment."
"Unable to delete the segment.","Unable to delete the segment."
"Customer Segments","Segmentos de Clientes"
"Edit Segment","Editar Segmento"
"Segment Customers matching error","Segment Customers matching error"
"You saved the segment.","Você salvou o segmento."
"We can't save the segment right now.","We can't save the segment right now."
"Viewing combined ""%1"" report from segments: %2.","Viewing combined ""%1"" report from segments: %2."
"The Customer Segment data has been refreshed.","The Customer Segment data has been refreshed."
Union,Union
Intersection,Intersection
"Applies to All of the Specified Customer Segments","Applies to All of the Specified Customer Segments"
"Apply to the Selected Customer Segments","Apply to the Selected Customer Segments"
"does not contains","não contém"
"Matched %1 Customers of Segment %2","Matched %1 Customers of Segment %2"
"Unknown operator specified.","Unknown operator specified."
"Customer Address","Endereço do Cliente"
"Product List","Lista de Produtos"
"Product History","Histórico do Produto"
"Wrong ""ApplyTo"" type","Wrong ""ApplyTo"" type"
"If Customer Addresses match %1 of these Conditions:","If Customer Addresses match %1 of these Conditions:"
"Address Attributes","Atributos do Endereço"
"Customer Address %1","Endereço do Cliente %1"
"Default Address","Endereço Padrão"
"Customer Address %1 Default %2 Address","Customer Address %1 Default %2 Address"
"Has State/Province","Tem Estado/Província"
"If Customer Address %1 State/Province specified","If Customer Address %1 State/Province specified"
has,tem
"does not have","não tem"
exists,existe
"does not exist","não existe"
"Customer %1","Cliente %1"
"Customer is %1 to newsletter.","Customer is %1 to newsletter."
"not subscribed","não inscrito"
"Store Credit","Store Credit"
"Customer Store Credit Amount %1 %2:","Customer Store Credit Amount %1 %2:"
"Date Range","Date Range"
"Date Range %1 within %2","Date Range %1 within %2"
"If Order Addresses match %1 of these Conditions:","If Order Addresses match %1 of these Conditions:"
"Order Address Attributes","Order Address Attributes"
"Order Address %1","Order Address %1"
"Address Type","Address Type"
"Order Address %1 a %2 Address","Order Address %1 a %2 Address"
"Order Status","Order Status"
"Order Status %1 %2:","Order Status %1 %2:"
"Product %1","Produto %1"
"Date Ranges","Date Ranges"
viewed,viewed
ordered,pedido
was,was
"was not","was not"
"If Product %1 %2 and matches %3 of these Conditions:","If Product %1 %2 and matches %3 of these Conditions:"
"Shopping Cart","Shopping Cart"
found,encontrado
"not found","não encontrado"
"If Product is %1 in the %2 with %3 of these Conditions match:","If Product is %1 in the %2 with %3 of these Conditions match:"
"Order Address","Order Address"
"Sales Amount","Sales Amount"
"Number of Orders","Number of Orders"
"Purchased Quantity","Purchased Quantity"
"%1 %2 %3 %4 while %5 of these Conditions match:","%1 %2 %3 %4 while %5 of these Conditions match:"
"If Customer Segment %1 %2","If Customer Segment %1 %2"
matches,matches
"does not match","não corresponde"
"Shopping Cart Total","Shopping Cart Total"
"Shopping Cart %1 Amount %2 %3:","Shopping Cart %1 Amount %2 %3:"
"Unknown quote total specified.","Unknown quote total specified."
"Number of Cart Line Items","Number of Cart Line Items"
"Number of Shopping Cart Line Items %1 %2:","Number of Shopping Cart Line Items %1 %2:"
"Products Quantity","Quantidade de Produtos"
"Shopping Cart Products Qty %1 %2:","Shopping Cart Products Qty %1 %2:"
"Up To Date","Atualizado"
"Period %1 %2 Days Up To Date","Period %1 %2 Days Up To Date"
"Customer Segment","Segmento de Clientes"
"Use in Customer Segment","Use in Customer Segment"
"Please choose a condition to add.","Please choose a condition to add."
"Enable Customer Segment Functionality","Enable Customer Segment Functionality"
"Refresh Data","Refresh Data"
"Manage Segments","Gerenciar Segmentos"
"View Combined Report","View Combined Report"
