Customers,Clientes
"No item specified.","Nenhum item especificado."
"Are you sure that you want to remove this item?","Tem certeza que deseja remover esse item?"
Orders,Pedidos
Customer,Cliente
"All Store Views","Todas as Visões"
"First Name","Nome"
"Last Name","Sobrenome"
Email,Email
"New Password","Nova Senha"
"Delete File","Excluir Arquivo"
Delete,Deletar
Save,Salvar
Store,Loja
Yes,Sim
"Website","Website"
Status,Status
Type,Tipo
"You deleted the customer.","Você excluiu o cliente."
"IP Address","Endereço de IP"
"Personal Information","Dados Pessoais"
"* Required Fields","* Campos Obrigatórios"
Day,Dia
label,etiqueta
Global,Global
Change,Alterar
"A total of %1 record(s) were updated.","Total de %1 registros atualizados."
"End Date","Data Final"
Telephone,Telefone
Fax,Celular
Password,Senha
"Confirm Password","Confirme a Senha"
Login,Login
"Forgot Your Password?","Esqueceu sua senha?"
"Forgot your password?","Esqueceu sua senha?"
Register,Cadastrar
"Log Out","Sair"
"Log In","Entrar"
"You subscribe to our newsletter.","Você está inscrito em nossa newsletter."
"You don't subscribe to our newsletter.","Você não está inscrito em nossa newsletter."
"You are currently not subscribed to our newsletter.","Você ainda não está inscrito na nossa newsletter."
"You have not set a default shipping address.","Não há endereço de entrega padrão."
"You have not set a default billing address.","Não há endereço de cobrança padrão."
"Address Book","Endereços Cadastrados"
"Edit Address","Editar Endereço"
region,Região
"Add New Customer","Novo"
"Save Customer","Salvar"
"Delete Customer","Excluir"
"Reset Password","Resetar Senha"
"New Customer","Novo Cliente"
"or ","ou "
" Send auto-generated password"," Enviar senha gerado automaticamente"
"Please select","Selecione"
"Send Welcome Email","Enviar E-mail de Boas-vindas"
"Send From","Enviar Para"
"Send Welcome Email after Confirmation","Enviar E-mail de Boas-Vindas após confirmação"
"Delete Address","Excluir Endereço"
"Edit Customer's Address","Editar Endereço do Cliente"
"Shopping Cart from %1","Carrinho de %1"
"Newsletter Information","Newsletter Information"
"Subscribed to Newsletter","Subscribed to Newsletter"
"Last Date Subscribed","Last Date Subscribed"
"Last Date Unsubscribed","Last Date Unsubscribed"
"No Newsletter Found","No Newsletter Found"
"Start date","Start date"
"Receive Date","Receive Date"
Subject,Assunto
Sent,Sent
"Not Sent","Not Sent"
Sending,Sending
Paused,Paused
Unknown,Unknown
Never,Never
Offline,Offline
Confirmed,Confirmado
"Confirmation Required","Confirmation Required"
"Confirmation Not Required","Confirmation Not Required"
Indeterminate,Indeterminate
"The customer does not have default billing address.","O usuario não tem um endereço de cobrança padrão."
"Recent Orders","Compras recentes"
"Shopping Cart - %1 item(s)","Shopping Cart - %1 item(s)"
"Shopping Cart of %1 - %2 item(s)","Shopping Cart of %1 - %2 item(s)"
"Wishlist - %1 item(s)","Wishlist - %1 item(s)"
"There are no items in customer's shopping cart at the moment","There are no items in customer's shopping cart at the moment"
"Shipped-to Name","Shipped-to Name"
"Deleted Stores","Deleted Stores"
"There are no items in customer's wishlist at the moment","There are no items in customer's wishlist at the moment"
"Add Locale","Add Locale"
"Add Date","Add Date"
"Days in Wish List","Days in Wish List"
"Customer Information","Dados do Cliente"
Addresses,Endereços
Wishlist,Wishlist
Newsletter,Newsletter
Download,Download
"View Full Size","View Full Size"
"All countries","All countries"
"Add New Customer Group","Add New Customer Group"
"Save Customer Group","Save Customer Group"
"Delete Customer Group","Delete Customer Group"
"New Customer Group","New Customer Group"
"Edit Customer Group ""%1""","Edit Customer Group ""%1"""
"Group Information","Group Information"
"Group Name","Group Name"
"Maximum length must be less then %1 symbols","Maximum length must be less then %1 symbols"
"Customers Only","Customers Only"
"Visitors Only","Visitors Only"
Visitor,Visitor
"The customer is currently assigned to Customer Group %s.","The customer is currently assigned to Customer Group %s."
"Would you like to change the Customer Group for this order?","Would you like to change the Customer Group for this order?"
"The VAT ID is valid. The current Customer Group will be used.","The VAT ID is valid. The current Customer Group will be used."
"Based on the VAT ID, ' 'the customer would belong to the Customer Group %s.","Based on the VAT ID, ' 'the customer would belong to the Customer Group %s."
"The VAT ID entered (%s) is not a valid VAT ID. ' 'The customer would belong to Customer Group %s.","The VAT ID entered (%s) is not a valid VAT ID. ' 'The customer would belong to Customer Group %s."
"There was an error validating the VAT ID. ' 'The customer would belong to Customer Group %s.","There was an error validating the VAT ID. ' 'The customer would belong to Customer Group %s."
"There was an error validating the VAT ID.","There was an error validating the VAT ID."
"Validate VAT Number","Validate VAT Number"
"Customer Login","Acesso de Usuário"
"Create New Customer Account","Criar Nova Conta"
"This account is not confirmed.' ' <a href=""%1"">Click here</a> to resend confirmation email.","This account is not confirmed.' ' <a href=""%1"">Click here</a> to resend confirmation email."
"Invalid login or password.","Login ou senha inválidos."
"There was an error validating the login and password.","There was an error validating the login and password."
"Login and password are required.","Login and password are required."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%1"">click here</a>.","Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%1"">click here</a>."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Já existe uma conta com este email. <a href=""%1"">Clique aqui</a> caso você não lembre sua senha."
"Cannot save the customer.","Cannot save the customer."
"Thank you for registering with %1.","Obrigado pelo seu cadastro."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter you shipping address for proper VAT calculation","If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter you shipping address for proper VAT calculation"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter you billing address for proper VAT calculation","If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter you billing address for proper VAT calculation"
"Bad request.","Bad request."
"This confirmation key is invalid or has expired.","This confirmation key is invalid or has expired."
"There was an error confirming the account","There was an error confirming the account"
"Please, check your email for confirmation key.","Please, check your email for confirmation key."
"This email does not require confirmation.","This email does not require confirmation."
"Wrong email.","Wrong email."
"Please correct the email address.","Please correct the email address."
"Unable to send password reset email.","Unable to send password reset email."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","If there is an account associated with %1 you will receive an email with a link to reset your password."
"Please enter your email.","Por favor insira o seu e-mail."
"Your password reset link has expired.","Your password reset link has expired."
"New Password and Confirm New Password values didn't match.","New Password and Confirm New Password values didn't match."
"New password field cannot be empty.","New password field cannot be empty."
"Your password has been updated.","Your password has been updated."
"There was an error saving the new password.","There was an error saving the new password."
"A problem was encountered trying to change password.","A problem was encountered trying to change password."
