"Front-end development workflow","Front-end development workflow"
"Workflow type","Workflow type"
"Not available in production mode","Not available in production mode"
"Developer Client Restrictions","Developer Client Restrictions"
"Allowed IPs (comma separated)","Allowed IPs (comma separated)"
"Leave empty for access from any location.","Leave empty for access from any location."
"Debug","Debug"
"Enabled Template Path Hints for Storefront","Enabled Template Path Hints for Storefront"
"Enabled Template Path Hints for Admin","Enabled Template Path Hints for Admin"
"Add Block Names to Hints","Add Block Names to Hints"
"Template Settings","Configurações de Template"
"Allow Symlinks","Habilitar Links Simbólicos"
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk."
"Minify Html","Minificar Html"
"Translate Inline","Tradução Inline"
"Enabled for Storefront","Habilitar para Frente de Loja"
"Enabled for Admin","Habilitar no Admin"
"Translate, blocks and other output caches should be disabled for both Storefront and Admin inline translations.","Translate, blocks and other output caches should be disabled for both Storefront and Admin inline translations."
"JavaScript Settings","Configurações JavaScript"
"Enable Javascript Bundling","Enable Javascript Bundling"
"Merge JavaScript Files","Mesclar Arquivos JavaScrip"
"Minify JavaScript Files","Minificar Arquivos JavaScript"
"Translation Strategy","Translation Strategy"
"Dictionary (Translation on Storefront side)","Dictionary (Translation on Storefront side)"
"Embedded (Translation on Admin side)","Embedded (Translation on Admin side)"
"Log JS Errors to Session Storage","Armazenamento de erros para sessões Js"
"Log JS Errors to Session Storage Key","Armazenamento de errros para sessões de chaves Js"
"CSS Settings","Configurações CSS"
"Merge CSS Files","mesclar arquivos CSS"
"Minify CSS Files","Minificar arquivos CSS"
"Image Processing Settings","Configurações de Processamento de Imagens"
"Image Adapter","Adptar Imagens"
"Static Files Settings","Configuração de Arquivos Estticos"
"Sign Static Files","Sign Static Files"
"Grid Settings","Configuração da  Grid"
"Asynchronous indexing","Indexação Assincrona"
"Client side less compilation","Compilação Client Side"
"Server side less compilation","Compilação Less Server Side"
"Disable","Desabilitar"
"Enable","Habilitar"
