Status,Status
label,label
Continue,Continue
"Export Settings","Exportar configurações"
"Entity Type","Tipo de entidade"
"Export File Format","Formato do arquivo de exportação"
"Attribute does not has options, so filtering is impossible","O atributo não possui opções, não é possível filtrar"
Exclude,Excluir
"Unknown attribute filter type","Tipo de filtro de atributo desconhecido"
"Check Data","Verificar dados"
"Import Settings","Importar configurações"
"Import Behavior","Comportamento de importação"
"File to Import","Arquivo para importar"
"Select File to Import","Selecione o arquivo para importação"
Import/Export,Importar/Exportar
"Please correct the data sent.","Por favor, corrija o dado enviado."
"Import successfully done","Importação realizada com sucesso"
"File does not contain data. Please upload another one","O arquvo está vazio. Por favor faça o upload de outro arquivo"
"File is valid! To start import process press ""Import"" button","Arquivo inválido! Para iniciar o processo de importação clique no botão ""Importar"""
"File is valid, but import is not possible","O arquivo é válido, porém não foi possível importar"
"Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4","Registos verificados: %1, entidades verificadas: %2, registros inválidos: %3, total de erros: %4"
"Please fix errors and re-upload file.","Por favor corrija os erros e refaça o upload dos arquivos."
"File was not uploaded","O upload do arquivo não foi realizado"
"Data is invalid or file is not uploaded","Dados inválidos ou upload não realizado"
"File is totally invalid. Please fix errors and re-upload file.","O arquivo está totalmente inválido. Por favor corrija os erros e refaça o upload."
"Errors limit (%1) reached. Please fix errors and re-upload file.","O limite de (%1) erro(s) foi alcançado. Por favor corrija os erros e refaça o upload dos arquivos."
"Please fix errors and re-upload file or simply press ""Import"" button' ' to skip rows with errors","Por favor corrija os erros e refaça o upload do arquivo ou simplesmente clique o no botão ""Importar"" para ignorar os registros com erro"
"File is partially valid, but import is not possible","O arquivo é parcialmente válido, porém não foi possível importar"
"in rows:","nas linhas:"
"The total size of the uploadable files can't be more than %1M","O tamanho total dos arquivos a serem importados não pode ser maior que %1M"
"System doesn't allow to get file upload settings","O sistema não permite obter configurações de upload de arquivos"
"Please enter a correct entity model","Por favor informe um modelo de entidade correto"
"Entity adapter object must be an instance of %1 or %2","O objeto adaptador de entidade deve ser uma instância de %1 ou %2"
"The input entity code is not equal to entity adapter code.","O código de entidade fornecido não é igual ao código do adaptador de entidade."
"Please enter a correct entity.","Por favor informe uma entidade correta."
"Adapter object must be an instance of %1","Adaptador deve ser uma instância de %1"
"Please correct the file format.","Por favor corrija o formato do arquivo."
"Begin export of %1","Iniciando a exportação de %1"
"There is no data for export","Não existem dados para exportar"
"Exported %1 rows.","%1 registro exportado."
"Export has been done.","Exportação concluída."
"Please provide filter data.","Por favor forneça um filtro de dados."
"Cannot determine attribute filter type","Não foi possível determinar o tipo de filtro do atributo"
"Entity is unknown","Entidade desconhecida"
"File format is unknown","Formato de aquivo desconhecido"
"Please correct the value for '%1' column","Por favor corrija o valor da coluna '%1'"
"Please specify writer.","Por favor especifique o autor."
"Destination file path must be a string","O destino do arquivo deve ser uma string"
"Destination directory is not writable","O diretório de destino não permite gravação"
"Destination file is not writable","O arquivo de destino não permite gravação"
"Header column names already set","Nome de coluna já configurado"
"in rows","nas linhas"
"Validation finished successfully","Validação finalizada com sucesso"
"File does not contain data.","O arquivo não contém dados."
"Begin import of ""%1"" with ""%2"" behavior","Iniciando a importaçao de ""%1"" com o comportamento ""%2"""
"Import has been done successfuly.","Inportação realizada com sucesso."
"File was not uploaded.","O upload do arquivo não foi realizado."
"Uploaded file has no extension","O arquivo para upload não possui extensão"
"Source file moving failed","Falha na movimentação do arquivo de origem"
"Begin data validation","Iniciando a validação dos dados"
"Done import data validation","Validação dos dados importados finalizada"
"Invalid behavior token for %1","Token de comportamento inválido para %1"
"Source is not set","Origiem não informada"
"Please correct the value for '%s'.","Por favor corrija o valor para '%s'."
"Duplicate Unique Attribute for '%s'","Duplicação de atributo único para '%s'"
"Cannot find required columns: %1","Náo foi possível encontrar a coluna solicitada: %1"
"Columns number: ""%1"" have empty headers","A coluna número: ""%1"" possui cabeçalhos vazios"
"Column names: ""%1"" are invalid","Os nomes das colunas: ""%1"" são inválidos"
"The adapter type must be a non empty string.","O adaptador não pode ser uma string vazia."
"Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource","O adaptador deve ser uma instância de \Magento\ImportExport\Model\Import\AbstractSource"
"Please specify a source.","Por favor especifique uma orgiem."
"Cannot get autoincrement value","Não foi possível obter o valor auto incrementável"
"Error in data structure: %1 values are mixed","Erro na estrutura de dados: %1 os valores estão misturados"
"Add/Update","Adicionar/Atualizar"
"Field separator","Separador de campos"
"Multiple value separator","Separador de multiplos valores"
"Images File Directory","Diretório dos arquivos de imagem"
"For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir","Para o tipo ""Servidor Local"" utilize o caminho relativo a instalação do Magento, por exemplo: var/export, var/import, var/export/some/dir"
"Replace Existing Complex Data","Substituir a existência de dados complexos"
"Delete Entities","Deletar entidades"
"Add/Update Complex Data","Adicionar/Atualizar dados complexos"
"Custom Action","Ação personalizada"
"Entity Attributes","Atributos de entidade"
"Validation Results","Resultados da validação"
"Start Date&Time","Data e hora de início"
"Imported File","Arquivo importado"
"Error File","Arquivo de erro"
"Execution Time","Tempo de execução"
