Type,Tipo
"A total of %1 record(s) were updated.","Um total de %1 registro(s) foram atualizados."
Sent,Emviar
"Not Sent","Não Enviar"
Sending,Enviando
Paused,Pausado
Newsletter,Newsletter
Updated,Atualizado
"Newsletter Subscription","Inscrição na Newsletter"
"Sender Name","Nome do Remetente"
"Sender Email","Email do Remetente"
Message,Mensagem
Recipients,Recipients
"Please enter a valid email address.","Por favor informe um email válido."
"Delete Selected Problems","Deletar Problemas Selecionados"
"Unsubscribe Selected","Unsubscribe Selected"
"Save Newsletter","Salvar Newsletter"
"Save and Resume","Salvar e Continuar"
"View Newsletter","Visualizar Newsletter"
"Edit Newsletter","Editar Newsletter"
"Queue Information","Informações da Queue"
"Queue Date Start","Queue Date Start"
"Subscribers From","Subscribers From"
"Newsletter Styles","Estilos da Newsletter"
Start,Começo
Pause,Pausa
"Do you really want to cancel the queue?","Você realmente gostaria de cancelar a queue?"
Resume,Resump
"Return HTML Version","Return HTML Version"
"Save As","Salvar Como"
"Edit Newsletter Template","Editar template da Newsletter"
"New Newsletter Template","Novo Template da Newsletter"
Added,Adicionado
Sender,Remetente
"Template Type","Tipo do Template"
"Queue Newsletter...","Queue Newsletter..."
"Newsletter Problem Reports","Reportar Problemas da Newsletter"
"We unsubscribed the people you identified.","We unsubscribed the people you identified."
"Newsletter Queue","Fila de Envio"
"Edit Queue","Edit Queue"
"Please correct the newsletter template and try again.","Por favor, selecione o template correto da newsletter e tente novamente."
"The newsletter queue has been saved.","The newsletter queue has been saved."
"Newsletter Subscribers","Emails Inscritos"
Subscribers,Inscritos
"Please select one or more subscribers.","Por favor, selecione um ou mais inscritos."
"Create Newsletter Template","Criar um template para a Newsletter"
"The newsletter template has been saved.","O template da newsletter foi salvo."
"An error occurred while saving this template.","Um erro ocorreu quando o template estava sendo salvo."
"The newsletter template has been deleted.","O template da newsletter foi excluído."
"An error occurred while deleting this template.","An error occurred while deleting this template."
"Something went wrong while saving your subscription.","Something went wrong while saving your subscription."
"We saved the subscription.","Informações salvas."
"We removed the subscription.","Nós removemos a inscrição."
"The confirmation request has been sent.","o email de confirmação foi enviado."
"Thank you for your subscription.","Obrigado por se inscrever."
"There was a problem with the subscription: %1","Houve um problema ao se inscrever: %1"
"Something went wrong with the subscription.","Houve um problema ao se inscrever."
"Your subscription has been confirmed.","Sua inscrição foi confirmada."
"This is an invalid subscription confirmation code.","Código de confirmação inválido."
"This is an invalid subscription ID.","ID de inscrição inválido."
"You have been unsubscribed.","Sua inscrição foi removida."
"Something went wrong with the un-subscription.","Something went wrong with the un-subscription."
"This email address is already assigned to another user.","O email já está associado a outro usuário."
"Sorry, but the administrator denied subscription for guests. ' 'Please <a href=""%1"">register</a>.","Sorry, but the administrator denied subscription for guests. ' 'Please <a href=""%1"">register</a>."
Cancelled,Cancelado
"There are no subscribers selected.","There are no subscribers selected."
"You selected an invalid queue.","You selected an invalid queue."
"We cannot mark as received subscriber.","We cannot mark as received subscriber."
"Duplicate template code","Código de template duplicado"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  -->' '<a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}' '</a>","Follow this link to unsubscribe <!-- This tag is for unsubscribe link  -->' '<a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}' '</a>"
"Choose Store View:","Choose Store View:"
"Newsletter Message Preview","Newsletter Message Preview"
"Add to Queue","Add to Queue"
"Are you sure that you want to strip all tags?","Are you sure that you want to strip all tags?"
"Please enter new template name.","Por favor, insira um novo nome de template"
" Copy"," Copiar"
"Sign Up for Our Newsletter:","Sign Up for Our Newsletter:"
"Enter your email address","Informe seu email"
Subscribe,Inscrever
CSV,CSV
"Excel XML","Excel XML"
"Subscription Options","Opções de Inscrição"
"Allow Guest Subscription","Allow Guest Subscription"
"Need to Confirm","Need to Confirm"
"Confirmation Email Sender","Confirmation Email Sender"
"Confirmation Email Template","Confirmation Email Template"
"Success Email Sender","Success Email Sender"
"Success Email Template","Success Email Template"
"Unsubscription Email Sender","Unsubscription Email Sender"
"Unsubscription Email Template","Unsubscription Email Template"
"We found no problems.","Nós não encontramos problemas."
Subscriber,Subscriber
"Queue Start Date","Queue Start Date"
"Queue Subject","Queue Subject"
"Error Code","Error Code"
"Error Text","Error Text"
"Queue Start","Queue Start"
"Queue End","Queue End"
Processed,Processed
Unsubscribe,Unsubscribe
"Customer First Name","Nome"
"Customer Last Name","Sobrenome"
"Not Activated","Não Ativo"
Subscribed,Inscrito
"Unsubscribed","Não Inscrito"
Unconfirmed,Unconfirmed
"Newsletter Template","Modelo de Newsletter"
"Newsletter Templates","Modelos de Newsletter"
"Newsletter Subscriptions","Inscrições de Newsletter"
"You have been successfully subscribed to our newsletter.","Você se cadastrou com sucesso na nossa newsletter."
"Newsletter subscription success","Inscrição em newsletter com sucesso"
"Currently Used For","Usado Para"
"This email address is already subscribed.","Este endereço de e-mail já está inscrito."
"This email address is already assigned to another user.","Este endereço de e-mail já está atribuído a outro usuário."
