"Condition","Condição"
"Shipping Price","Shipping Price"
"Export CSV","Export CSV"
"Store Pickup","Store Pickup"
"Weight vs. Destination","Peso vs. Destino"
"Price vs. Destination","Preço vs. Destino"
"# of Items vs. Destination","# de Itens vs. Destino"
"Weight (and above)","Weight (and above)"
"Order Subtotal (and above)","Order Subtotal (and above)"
"# of Items (and above)","# of Items (and above)"
"Please correct Table Rate code type: %1.","Please correct Table Rate code type: %1."
"Please correct Table Rate code for type %1: %2.","Please correct Table Rate code for type %1: %2."
"Per Order","Per Order"
"Per Item","Per Item"
"Free Shipping","Frete Grátis"
"For matching items only","Apenas para itens correspondentes"
"For shipment with matching items","Para envio com itens correspondentes"
"Please correct Table Rates File Format.","Please correct Table Rates File Format."
"Something went wrong while importing table rates.","Something went wrong while importing table rates."
"We couldn't import this file because of these errors: %1","We couldn't import this file because of these errors: %1"
"Please correct Table Rates format in the Row #%1.","Please correct Table Rates format in the Row #%1."
"Please correct Country ""%1"" in the Row #%2.","Please correct Country ""%1"" in the Row #%2."
"Please correct Region/State ""%1"" in the Row #%2.","Please correct Region/State ""%1"" in the Row #%2."
"Please correct %1 ""%2"" in the Row #%3.","Please correct %1 ""%2"" in the Row #%3."
"Please correct Shipping Price ""%1"" in the Row #%2.","Please correct Shipping Price ""%1"" in the Row #%2."
"Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")","Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")"
"Calculate Handling Fee","Calcular taxa de manuseio"
"Handling Fee","Taxa de manuseio"
"Ship to Applicable Countries","Enviar para países aplicáveis"
"Ship to Specific Countries","Enviar para países específicos"
"Show Method if Not Applicable","Mostrar método se não for aplicável"
"Flat Rate","Flat Rate"
"Method Name","Method Name"
"Table Rates","Table Rates"
"Include Virtual Products in Price Calculation","Incluir Produtos Virtuais no Cálculo de Preço"
"Displayed Error Message","Mostrar Menssagem de Erro"
"Minimum Order Amount","Minimum Order Amount"
