"Add video","Adicionar vídeo"
"Add Video","Adicionar Vídeo"
"New Video","Novo Vídeo"
"Product Video","Vídeo do Produto"
"YouTube API key","YouTube API key"
"You have not entered youtube API key. No information about youtube video will be retrieved.","Você não informou a API Key. Nenhuma informação foi retornada."
"Url","Url"
"Preview Image","Pré-visualizar"
"Get Video Information","Informações do vídeo"
"Youtube or Vimeo supported","Suporta Youtube ou Vimeo"
"Vimeo supported.<br />To add YouTube video, please <a href=""%1"">enter YouTube API Key</a> first.","Aceita Vimeo.<br />Para Youtube você precisa <a href=""%1"">informar sua Chave de API</a>."
"Maximum 255 chars. Meta Description should optimally be between 150-160 characters","Recomendado entre 150 e 160 caracteres"
