Subtotal,Subtotal
Discount,Desconto
"Store Credit","Crédito da Loja"
"An item option with code %1 already exists.","Um item com a opção com o código %1 já existe."
"Discount (%1)","Desconto (%1)"
"Shipping & Handling","Frete"
"Sorry, but items with payment agreements must be ordered one at a time To continue, please remove or buy the other items in your cart, then order this item by itself.","Sorry, but items with payment agreements must be ordered one at a time To continue, please remove or buy the other items in your cart, then order this item by itself."
"We found an invalid request for adding product to quote.","Nós achamos uma requisição inválida ao addicionar o produto ao pedido."
"This is the wrong quote item id to update configuration.","Esse ID do item no pedido é errado para ajustar a configuração."
"This shipping method is not available. To use this shipping method, please contact us.","Esse método de entrega não é válido. Para usar esse método de entrega, por favor entre em contato conosco."
"The address model is not defined.","O modelo de endereço não está definido."
"The address total model should be extended from \Magento\Quote\Model\Quote\Address\Total\AbstractTotal.","The address total model should be extended from \Magento\Quote\Model\Quote\Address\Total\AbstractTotal."
"Subscription Items","Itens Inscrição"
"Regular Payment","Pagamento Regular"
"Shipping & Handling (%1)","Frete (%1)"
"We found an invalid item option format.","Nós achamos uma opção de item com formato inválido."
"Item qty declaration error","Declaração"
"Some of the products below do not have all the required options.","Some of the products below do not have all the required options."
"Something went wrong during the item options declaration.","Something went wrong during the item options declaration."
"We found an item options declaration error.","We found an item options declaration error."
"Some of the selected options are not currently available.","Some of the selected options are not currently available."
"Selected option(s) or their combination is not currently available.","Selected option(s) or their combination is not currently available."
"Some item options or their combination are not currently available.","Some item options or their combination are not currently available."
"The requested Payment Method is not available.","The requested Payment Method is not available."
"Please check the shipping address information. %1","Por favor verifique as informações do endereço de entrega. %1"
"Please check the billing address information. %1","Por favor verifique as informações do endereço de cobrança. %1"
"Please select a valid payment method.","Por favor selecione um método de pagamento válido."
"Coupon code is not valid","Código do cupom não é válido"
"Unable to save address. Please check input data.","Unable to save address. Please check input data."
"Cart %1 doesn't contain products","Carrinho %1 não contem produtos"
"Could not apply coupon code","Não foi possível aplicar o código do cupom"
"Could not delete coupon code","Não foi possível excluir esse cupom"
"Cannot assign customer to the given cart. You don't have permission for this operation.","Cannot assign customer to the given cart. You don't have permission for this operation."
"Shipping address is not set","Endereço de entrega não foi definido"
"The requested Payment Method is not available.","O método de pagamento não está disponível."
"We found an invalid request for adding product to quote.","We found an invalid request for adding product to quote."
"Product that you are trying to add is not available.","O produto que você está tentando adicionar não está disponível."
"This shipping method is not available. To use this shipping method, please contact us.","Esse método de entrega não está disponível. Para usar esse método de entrega, por favor fale conosco."
"The address model is not defined.","The address model is not defined."
"The address total model should be extended from
                    \Magento\Quote\Model\Quote\Address\Total\AbstractTotal.","The address total model should be extended from
                    \Magento\Quote\Model\Quote\Address\Total\AbstractTotal."
"Grand Total","Total"
"Shipping & Handling (%1)","Entrega & Manuseio (%1)"
"Shipping & Handling","Entrega & Manuseio"
Shipping,Entrega
Subtotal,Subtotal
"We found an invalid item option format.","We found an invalid item option format."
"An item option with code %1 already exists.","An item option with code %1 already exists."
"Item qty declaration error","Item qty declaration error"
"Some of the products below do not have all the required options.","Some of the products below do not have all the required options."
"Something went wrong during the item options declaration.","Something went wrong during the item options declaration."
"We found an item options declaration error.","We found an item options declaration error."
"Some of the selected options are not currently available.","Some of the selected options are not currently available."
"Selected option(s) or their combination is not currently available.","Selected option(s) or their combination is not currently available."
"Some item options or their combination are not currently available.","Some item options or their combination are not currently available."
"Cart %1 does not contain item %2","Cart %1 does not contain item %2"
"Could not save quote","Não foi possível salvar o pedido"
"Cart %1 doesn't contain item  %2","Cart %1 doesn't contain item  %2"
"Could not remove item from quote","Could not remove item from quote"
"The qty value is required to update quote item.","The qty value is required to update quote item."
"Minimum order amount is %1","Valor mínimo para pedido é %1"
"Invalid customer id %1","Id de cliente inválido %1"
"Invalid address id %1","Id de endereço inválido %1"
"Invalid customer address id %1","Id de endereço de cliente inválido %1"
"Cannot create quote","Não foi possível criar a cotação"
"Cannot assign customer to the given cart. The cart belongs to different store.","Cannot assign customer to the given cart. The cart belongs to different store."
"Cannot assign customer to the given cart. The cart is not anonymous.","Cannot assign customer to the given cart. The cart is not anonymous."
"Cannot assign customer to the given cart. Customer already has active cart.","Cannot assign customer to the given cart. Customer already has active cart."
"An error occurred on the server. Please try to place the order again.","An error occurred on the server. Please try to place the order again."
"Only 1 shipping assignment can be set","Only 1 shipping assignment can be set"
"This item price or quantity is not valid for checkout.","Esse preço do item ou quantidade não é válido para finalizar compra."
"Please check the shipping address information. %1","Por favor verifique as informações do endereço de entrega. %1"
"Some addresses cannot be used due to country-specific configurations.","Some addresses cannot be used due to country-specific configurations."
"Please specify a shipping method.","Por favor selecione um método de entrega."
"Please check the billing address information. %1","Por favor verifique as informações do endereço de cobrança. %1"
"Please select a valid payment method.","Por favor selecione um método de pagamento válido."
Discount,Desconto
Tax,Imposto
"Cart contains virtual product(s) only. Shipping address is not applicable.","Cart contains virtual product(s) only. Shipping address is not applicable."
"Shipping address not set.","Endereço de entrega não especificado."
"Cannot set shipping method. %1","Não foi possível definir o método de entrega. %1"
"Shipping method is not applicable for empty cart","Shipping method is not applicable for empty cart"
"Cart contains virtual product(s) only. Shipping method is not applicable.","Cart contains virtual product(s) only. Shipping method is not applicable."
"Carrier with such method not found: %1, %2","Entregador com o seguinte método não foi encontrado: %1, %2"
"Cannot set shipping method. %1","Não foi possível selecionar o método de entrega. %1"
"Minimum Order Amount Exceeded.","Quantidade mínima do pedido excedida."
error123,error123
error345,error345
Carts,Carrinhos
"Manage carts","Manusear Carrinhos"
"Invalid state change requested","Invalid state change requested"
