"Sort Order","Sort Order"
Title,Title
"* Required Fields","* Required Fields"
Websites,Websites
"View Details","View Details"
"Product Reviews","Comentários do Produto"
Review,Comentário
Reviews,Comentários
"Save Review","Salvar"
"Add New Review","Novo"
"Review Details","Detalhes do Comentário"
"Product Rating","Avaliação do Produto"
"Visible In","Visível Em"
Nickname,Apelido
"Summary of Review","Título"
"Save and Previous","Salvar e Voltar"
"Save and Next","Salvar e Avançar"
"Delete Review","Excluir"
"Edit Review","Editar"
"Edit Review '%1'","Editar '%1'"
"New Review","Novo"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>"
Administrator,Administrator
"Posted By","Posted By"
"Summary Rating","Sumário da Avaliação"
"Detailed Rating","Detalhe da Avaliação"
"Pending Reviews RSS","Pending Reviews RSS"
"Update Status","Atualizar Status"
"Pending Reviews of Customer `%1`","Pending Reviews of Customer `%1`"
"Pending Reviews","Pending Reviews"
"All Reviews of Customer `%1`","All Reviews of Customer `%1`"
"All Reviews of Product `%1`","All Reviews of Product `%1`"
"All Reviews","All Reviews"
"Product Store Name","Product Store Name"
"Manage Ratings","Manage Ratings"
"Add New Rating","Novo"
"Save Rating","Salvar"
"Delete Rating","Delete Rating"
"Edit Rating #%1","Edit Rating #%1"
"New Rating","Nova Avaliação"
"Rating Title","Título"
"Rating Visibility","Visibilidade"
"Please specify a rating title for a store, or we'll just use the default value.","Please specify a rating title for a store, or we'll just use the default value."
"Rating Information","Rating Information"
"Customer Reviews","Comentários"
"The review was removed by another user or does not exist.","The review was removed by another user or does not exist."
"You saved the review.","Salvo com sucesso"
"Something went wrong while saving this review.","Houve um erro ao salvar"
"The review has been deleted.","Excluído com sucesso"
"Something went wrong  deleting this review.","Something went wrong  deleting this review."
"Please select review(s).","Please select review(s)."
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"An error occurred while updating the selected review(s).","An error occurred while updating the selected review(s)."
"We can't get the product ID.","We can't get the product ID."
"An error occurred while saving review.","An error occurred while saving review."
"You saved the rating.","You saved the rating."
"You deleted the rating.","You deleted the rating."
Ratings,Avaliações
"My Product Reviews","Minhas Avaliações"
"Your review has been accepted for moderation.","Your review has been accepted for moderation."
"We cannot post the review.","We cannot post the review."
"Storage key was not set","Storage key was not set"
Approved,Aprovado
"Not Approved","Não Aprovado"
"The review summary field can't be empty.","The review summary field can't be empty."
"The nickname field can't be empty.","The nickname field can't be empty."
"The review field can't be empty.","The review field can't be empty."
"Rating isn't Available","Avaliação Não Disponível"
"Assigned Options","Assigned Options"
"Option Title:","Título:"
Rating,Avaliação
"You have submitted no reviews.","Você não fez nenhuma avaliação ainda."
"My Recent Reviews","My Recent Reviews"
"View All Reviews","View All Reviews"
"Average Customer Rating:","Average Customer Rating:"
"Your Rating:","Sua avaliação:"
"Your Rating","Sua avaliação"
Rating:,Avaliação:
"Your Review (submitted on %1):","Your Review (submitted on %1):"
"Review (submitted on %1):","Review (submitted on %1):"
"Back to My Reviews","Voltar para Meus Comentários"
"Be the first to review this product","Seja o primeiro a avaliar este produto"
"Write Your Own Review","Escreva Seu Comentário"
"You're reviewing:","Você está comentando:"
"How do you rate this product?","Como você avalia este produto?"
"%1 %2","%1 %2"
"Summary of Your Review","Summary of Your Review"
"Submit Review","Enviar avaliação"
"Only registered users can write reviews. Please, <a href=""%1"">log in</a> or <a href=""%2"">register</a>","Only registered users can write reviews. Please, <a href=""%1"">log in</a> or <a href=""%2"">register</a>"
Review(s),Review(s)
"Add Your Review","Avalie este produto"
"%1 Review(s)","%1 Review(s)"
"Reviews %1","Comentários %1"
"Review by","Por"
"Posted on","Posted on"
"Back to Main Product Info","Back to Main Product Info"
"Average Customer Rating","Média das Avaliações"
"Product Rating:","Avaliações do Produto:"
"Product Review (submitted on %1):","Comentários (enviado em %1):"
"Back to Product Reviews","Voltar Para Os Comentários"
"Allow Guests to Write Reviews","Allow Guests to Write Reviews"
Quality,Qualidade
Summary,Sumário
"You submitted your review for moderation.","Seu comentário foi enviado para moderação"
"Please select one of each of the ratings above.","Informe as estrelas que esse produto merece"
"Rating Information","Informações da Avaliação"
"Please specify a rating title for a store, or we'll just use the default value.","Informe um título para cara loja caso queira que seja diferente da padrão"
"Search Synonyms","Sinônimos de Busca"
"Search by keyword","O que você procura?"
"New Synonym Group","Novo"
"Save Synonym Group","Salvar"
"Synonyms","Sinônimos"
"Delete Synonym Group","Excluir"
"Are you sure you want to delete this synonym group?","Deseja mesmo excluir?"
"You can adjust the scope of this synonym group by selecting an option from the list.","Você pode criar sinonimos diferentes para cada vião de loja que você possua."
"Comma-separated list of synonyms. The terms entered (separated by commas) will be used as an “OR” search query to search your entire store. For example, if you enter “shoes,footwear”, and user were to search for ""shoes"", the search results will include any product or content with term “shoes"" or ""footwear.”","Separe os termos por vírgula."
"Merge existing synonyms","Fundir sinônimos existentes"
"Automatically merges synonyms in groups that share the same scope. If you check this box and you add one or more of the same terms to different synonym groups in the same scope, automatically merges all the terms to one group. If this isn't what you want, uncheck the box and an error displays if you try to add the same terms.","Marque esta opção caso você queira permitir que um dos termos esteja em mais de um grupo de sinônimos."
