"Update Items and Qty's","Update Items and Qty's"
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"Apply Coupon Code","Apply Coupon Code"
"Remove Coupon Code","Remove Coupon Code"
"Row Subtotal","Row Subtotal"
"No ordered items","No ordered items"
"Total %1 product(s)","Total %1 product(s)"
Subtotal:,Subtotal:
"Excl. Tax","Excl. Tax"
Total,Total
"Incl. Tax","Incl. Tax"
"Total incl. tax","Total incl. tax"
"Move to Wishlist","Move to Wishlist"
Item,Item
"Add to Cart","Add to Cart"
Sku,Sku
"Order saving error: %1","Order saving error: %1"
"You created the order.","You created the order."
Orders,Pedidos
Customer,Cliente
" [deleted]"," [deleted]"
title,title
Specified,Specified
"Shipping Amount","Shipping Amount"
"Tax Amount","Imposto"
"We cannot add this item to your shopping cart.","We cannot add this item to your shopping cart."
N/A,N/A
Ordered,Pedido
Invoiced,Faturado
Shipped,Enviado
Refunded,Devolvido
Canceled,Cancelado
Closed,Fechado
From:,De:
To:,Para:
"Gift Message","Mensagem do Presente"
Message:,Mensagem:
"Tier Pricing","Tier Pricing"
"Go to Home Page","Go to Home Page"
"Discount Amount","Desconto"
"Payment Information","Pagamento"
"Shipping Information","Frete"
"Shipping & Handling Information","Frete"
"Shipping Method","Forma de Envio"
"Clear Shopping Cart","Clear Shopping Cart"
Address,Address
Telephone,Telephone
"Save in address book","Guardar no livro de endereços"
Continue,Continue
"Order #","Pedido #"
"Payment Method","Forma de Pagamento"
Sales,Vendas
Comment,Comment
%1,%1
"Purchase Date","Data da Compra"
"Bill-to Name","Cobrança Para"
"Ship-to Name","Enviar Para"
"Order Total","Total"
"Purchase Point","Loja"
"Recent Orders","Compras Recentes"
Notified,Notificado
"Notify Customer by Email","Notificar Cliente por Email"
Billing,Billing
"Order Status","Status de Pedido"
"View Order","View Order"
Amount,Acumulado
Message,Mensagem
Information,Information
"Gift Options","Opçoes de presente"
"Gift options","Opçoes de presente"
"If you don't want to leave a gift message for the entire order, leave this box blank.","If you don't want to leave a gift message for the entire order, leave this box blank."
New,Novo
"Custom Price","Custom Price"
Processing,Processando
Pending,Pendente
"Add To Order","Add To Order"
"Configure and Add to Order","Configure and Add to Order"
"No items","No items"
Authorization,Authorization
"Ordered amount of %1","Ordered amount of %1"
"Payment transactions disallow storing objects.","Payment transactions disallow storing objects."
"Transaction ID","Transaction ID"
"Order ID","Número do Pedido"
Void,Void
"Created At","Created At"
"Payment Method:","Forma de Pagamento:"
"Ship To","Enviar para"
"Invalid parent block for this block","Invalid parent block for this block"
"Grand Total (Base)","Total Cobrado"
"Grand Total (Purchased)","Total Pago"
"Customer Name","Cliente"
"We couldn't update the payment.","We couldn't update the payment."
"Shopping Cart Price Rule","Shopping Cart Price Rule"
CSV,CSV
"Excel XML","Excel XML"
"Total Refunded","Total Devolvido"
Paid,Pago
Coupons,Cupons
Print,Imprimir
"Submit Comment","Enviar"
Returned,Returned
"Order Date","Data"
"Order # ","Pedido # "
"Order Date: ","Order Date: "
"Comment Text","Comment Text"
"Visible on Frontend","Visible on Frontend"
"Not Notified","Not Notified"
"Please select products.","Please select products."
Number,Number
"Order Date: %1","Order Date: %1"
"Shipping &amp; Handling","Shipping &amp; Handling"
"Credit Memos","Reembolsos"
Invoices,Faturas
"We cannot get the order instance.","We cannot get the order instance."
"Create New Order","Criar Pedido"
"Save Order Address","Save Order Address"
"Edit Order %1 %2 Address","Edit Order %1 %2 Address"
"Order Address Information","Order Address Information"
"Please correct the parent block for this block.","Please correct the parent block for this block."
"Submit Order","Submit Order"
"Are you sure you want to cancel this order?","Are you sure you want to cancel this order?"
"Order Comment","Order Comment"
"Please select a customer.","Please select a customer."
"Create New Customer","Create New Customer"
"Edit Order #%1","Edit Order #%1"
"Create New Order for %1 in %2","Create New Order for %1 in %2"
"Create New Order for New Customer in %1","Create New Order for New Customer in %1"
"Create New Order for %1","Create New Order for %1"
"Create New Order for New Customer","Create New Order for New Customer"
"Items Ordered","Itens Comprados"
"This product is disabled.","This product is disabled."
"Buy %1 for price %2","Buy %1 for price %2"
"Item ordered qty","Item ordered qty"
"%1 with %2 discount each","%1 with %2 discount each"
"%1 for %2","%1 for %2"
"* - Enter custom price including tax","* - Enter custom price including tax"
"* - Enter custom price excluding tax","* - Enter custom price excluding tax"
"This product does not have any configurable options","This product does not have any configurable options"
"Add Selected Product(s) to Order","Add Selected Product(s) to Order"
"Update Changes","Update Changes"
"Are you sure you want to delete all items from shopping cart?","Are you sure you want to delete all items from shopping cart?"
"Products in Comparison List","Products in Comparison List"
"Last Ordered Items","Last Ordered Items"
"Please select a store.","Please select a store."
"Order Totals","Totais"
"Shipping Incl. Tax (%1)","Shipping Incl. Tax (%1)"
"Shipping Excl. Tax (%1)","Shipping Excl. Tax (%1)"
"New Credit Memo for Invoice #%1","New Credit Memo for Invoice #%1"
"New Credit Memo for Order #%1","New Credit Memo for Order #%1"
"Refund Shipping (Incl. Tax)","Refund Shipping (Incl. Tax)"
"Refund Shipping (Excl. Tax)","Refund Shipping (Excl. Tax)"
"Refund Shipping","Refund Shipping"
"Update Qty's","Atualizar Quantidades"
Refund,Refund
"Refund Offline","Refund Offline"
"Paid Amount","Paid Amount"
"Refund Amount","Refund Amount"
"Shipping Refund","Shipping Refund"
"Order Grand Total","Order Grand Total"
"Adjustment Refund","Adjustment Refund"
"Adjustment Fee","Adjustment Fee"
"Send Email","Enviar Email"
"Are you sure you want to send a Credit memo email to customer?","Are you sure you want to send a Credit memo email to customer?"
"The credit memo email was sent","The credit memo email was sent"
"the credit memo email is not sent","the credit memo email is not sent"
"Credit Memo #%1 | %3 | %2 (%4)","Credit Memo #%1 | %3 | %2 (%4)"
"Total Refund","Total Refund"
"New Invoice and Shipment for Order #%1","New Invoice and Shipment for Order #%1"
"New Invoice for Order #%1","New Invoice for Order #%1"
"Submit Invoice and Shipment","Submit Invoice and Shipment"
"Submit Invoice","Criar Fatura"
"Are you sure you want to send an Invoice email to customer?","Are you sure you want to send an Invoice email to customer?"
"Credit Memo","Reembolso"
Capture,Capturar
"the invoice email was sent","the invoice email was sent"
"the invoice email is not sent","the invoice email is not sent"
"Invoice #%1 | %2 | %4 (%3)","Invoice #%1 | %2 | %4 (%3)"
"Order Statuses","Order Statuses"
"Create New Status","Create New Status"
"Assign Status to State","Assign Status to State"
"Save Status Assignment","Save Status Assignment"
"Assign Order Status to State","Assign Order Status to State"
"Assignment Information","Assignment Information"
"Order State","Order State"
"Use Order Status As Default","Use Order Status As Default"
"Visible On Frontend","Visible On Frontend"
"Edit Order Status","Edit Order Status"
"Save Status","Save Status"
"New Order Status","New Order Status"
"Order Status Information","Order Status Information"
"Status Code","Status Code"
"Status Label","Status Label"
"Store View Specific Labels","Título específico para loja"
"Total Paid","Total Pago"
"Total Due","Total Devido"
"Are you sure you want to send an order email to customer?","Are you sure you want to send an order email to customer?"
"This will create an offline refund. ' 'To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","This will create an offline refund. ' 'To create an online refund, open an invoice and create credit memo for it. Do you want to continue?"
"Are you sure you want to void the payment?","Are you sure you want to void the payment?"
Hold,Segurar
hold,segurar
Unhold,Liberar
unhold,liberar
"Are you sure you want to accept this payment?","Are you sure you want to accept this payment?"
"Accept Payment","Accept Payment"
"Are you sure you want to deny this payment?","Are you sure you want to deny this payment?"
"Deny Payment","Deny Payment"
"Get Payment Update","Get Payment Update"
"Invoice and Ship","Invoice and Ship"
Invoice,Fatura
Ship,Envio
Reorder,Recomprar
"Order # %1 %2 | %3","Order # %1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. ' 'If you wish to continue editing, the (%2) items will be removed, ' ' the order will be canceled and a new order will be placed.","This order contains (%1) items and therefore cannot be edited through the admin interface. ' 'If you wish to continue editing, the (%2) items will be removed, ' ' the order will be canceled and a new order will be placed."
"Are you sure? This order will be canceled and a new one will be created instead.","Are you sure? This order will be canceled and a new one will be created instead."
"Save Gift Message","Save Gift Message"
"Order Credit Memos","Order Credit Memos"
"Credit memo #%1 created","Reembolso criado - nº %1"
"Credit memo #%1 comment added","Comentário adicionado ao Reembolso %1"
"Shipment #%1 created","Envio criado - nº %1"
"Shipment #%1 comment added","Comentário adicionado ao Envio %1"
"Invoice #%1 created","Fatura criada - nº %1"
"Invoice #%1 comment added","Comentário adicionado a Fatura %1"
"Tracking number %1 for %2 assigned","Número de rastreio adicionado: %1 (%2)"
"Comments History","Histórico"
"Order History","Order History"
"Order Information","Informações do Pedido"
"Order Invoices","Order Invoices"
Shipments,Envios
"Order Shipments","Order Shipments"
Transactions,Transações
"Order View","Detalhes do Pedido"
"Applies to Any of the Specified Order Statuses","Applies to Any of the Specified Order Statuses"
"Show Actual Values","Show Actual Values"
Fetch,Fetch
"Transaction # %1 | %2","Transaction # %1 | %2"
Key,Chave
Value,Valor
"We found an invalid entity model.","We found an invalid entity model."
"Order # %1","Pedido # %1"
"Back to My Orders","Back to My Orders"
"View Another Order","View Another Order"
"About Your Refund","About Your Refund"
"My Orders","Meus Pedidos"
"About Your Invoice","About Your Invoice"
"Print Order # %1","Print Order # %1"
"Grand Total to be Charged","Grand Total to be Charged"
Unassign,Unassign
"We sent the message.","We sent the message."
"This order no longer exists.","This order no longer exists."
"Exception occurred during order load","Exception occurred during order load"
"You sent the order email.","You sent the order email."
"We couldn't send the email order.","We couldn't send the email order."
"You canceled the order.","You canceled the order."
"You have not canceled the item.","You have not canceled the item."
"You put the order on hold.","You put the order on hold."
"You have not put the order on hold.","You have not put the order on hold."
"You released the order from holding status.","You released the order from holding status."
"The order was not on hold.","The order was not on hold."
"The payment has been accepted.","The payment has been accepted."
"The payment has been denied.","The payment has been denied."
"The payment update has been made.","The payment update has been made."
"Comment text cannot be empty.","Comment text cannot be empty."
"We cannot add order history.","We cannot add order history."
"%1 order(s) cannot be canceled.","%1 order(s) cannot be canceled."
"You cannot cancel the order(s).","You cannot cancel the order(s)."
