"Log JS Errors to Session Storage","Log JS Errors to Session Storage"
"If enabled, can be used by functional tests for extended reporting","If enabled, can be used by functional tests for extended reporting"
"Log JS Errors to Session Storage Key","Log JS Errors to Session Storage Key"
"Use this key to retrieve collected js errors","Use this key to retrieve collected js errors"
"Save View As...","Salvar visualização como..."
"Default View","Visualização Padrão"
"Condition type ""%1"" is not allowed","Tipo de condição ""%1"" não é permitida
"The configuration parameter ""formElement"" is a required for ""%1"" field.","O parâmetro de configuração ""formElement"" é obrigatório para o campo ""%1""."
"Remove %1","Remover %1"
"Add New %1","Add Novo %1"
"New %1","Novo %1"
"Please select item(s).","Por favor selecione um item(s)."
"Invalid XML in file %1:\n%2","XML inválido no arquivo %1:\n%2"
.,.
"Unsupported bookmark action.","Ação de marcador não suportada."
"Parameter ""class"" must be present.","Parâmetro ""class"" precisa estar presente."
"Parameter ""sortOrder"" must be present.","Parâmetro ""sortOrder"" precisa estar presente."
"Invalid UI Component element name: '%1'","Inválido UI Component nome do elemento: '%1'"
"Bookmark with id ""%1"" does not exist.","Bookmark with id ""%1"" does not exist."
"Invalid UI Component element name: ''","Invalid UI Component element name: ''"
Cancel,Cancelar
Back,Voltar
Next,Próximo
"Changes have been made to this section that have not been saved.","Changes have been made to this section that have not been saved."
"This tab contains invalid data. Please resolve this before saving.","This tab contains invalid data. Please resolve this before saving."
Assign,Atribuir
Options,Opções
"records found","registros encontrados"
selected,selecionado
of,de
Filters,Filtros
Add,Add
"Something went wrong.","Algo deu errado."
Yes,Sim
No,Não
Done,Feito
options,opções
Select...,Selecionar...
Selected,Selecionado
"Select All","Selecionar Tudo"
"Deselect All","Desmarcar Tudo"
"Select All on This Page","Selecionar Tudo nessa Página"
"Deselect All on This Page","Desmarcar Tudo nessa Página"
On,Ligado
Off,Desligado
"Go to Details Page","Ir para Página de Detalhes"
"New View","Nova Visão"
"Default View","Visão Padrão"
"${ $.visible } out of ${ $.total } visible","${ $.visible } de um ${ $.total } visível"
"You have successfully saved your edits.","Você salvou com sucesso suas edições."
"There are {placeholder} messages requires your attention.","Existem {placeholder} mensagens que necessitam da sua atenção."
from,de
to,para
"You haven't selected any items!","Você não selecionou nenhum item(s)!"
"Search by keyword","Buscar por palavra-chave"
Keyword,Palavra-chave
"Select Date","Selecionar Data"
"Please enter more or equal than {0} symbols.","Por favor digite mais ou igual a {0} símbolos."
"Please enter less or equal than {0} symbols.","Por favor digite menos ou igual a {0} symbols."
"Please enter {0} words or less.","Por favor digite {0} palavras ou menos."
"Please enter at least {0} words.","Por favor digite ao menos {0} palavras."
"Please enter between {0} and {1} words.","Por favor digite entre {0} e {1} palavras."
"Letters or punctuation only please","Apenas letras e pontuações por favor."
"Letters, numbers, spaces or underscores only please","Letras, números, espaços ou underline apenas."
"Letters only please","Apenas letras por favor"
"No white space please","Sem espaços vazios por favor"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","Seu CEP estar dentro do intervalo 902xx-xxxx e 905-xx-xxxx"
"A positive or negative non-decimal number please","Informe um número positivo ou não decimal"
"The specified vehicle identification number (VIN) is invalid.","A placa de indentificão do carro (VIN) é inválida"
"Please enter a correct date","Por favor informe uma data correta"
"Vul hier een geldige datum in.","Vul hier een geldige datum in."
"Please enter a valid time, between 00:00 and 23:59","Por favor informe uma hora válida, entre 00:00 e 23:59"
"Please enter a valid time, between 00:00 am and 12:00 pm","Por favor informe uma hora válida, entre 00:00 am e 12:00 pm"
"Please specify a valid phone number","Por favor digite um número de telefone válido"
"Please specify a valid mobile number","Por favor digite um número de celular válido"
"Please enter at least {0} characters","Por favor digite no mínimo {0} caracteres"
"Please enter a valid credit card number.","Please digite número de cartão de crédito válido."
"Please enter a valid IP v4 address.","Por favor digite um número de endereço IP V4 válido."
"Please enter a valid IP v6 address.","Por favor digite um núnero de endereço IP v6 válido."
"Invalid format.","Formato inválido."
"HTML tags are not allowed.","Tags HTML não são permitidas."
"Please select an option.","Por favor selecione uma opção."
"Empty Value.","Valor Vazio."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","Por favor use apenas letras (a-z ou A-Z), números (0-9) ou espaços nesse campo."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Por favor use apenas letras (a-z ou A-Z), números (0-9) ou underline (_) nesse campo, e o primeiro caracter precisa ser uma letra."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","Por favor use apenas letras (a-z ou A-Z), números (0-9), espaços e ""#"" nesse campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor informe um número de telefone válido. Por exemplo (123) 456-7890 ou 123-456-7890."
"Please enter a valid fax number (Ex: 123-456-7890).","Por favor informe um número de fax válido (Ex: 123-456-7890)."
