Custom,Custom
Back,Voltar
ID,ID
SKU,SKU
No,No
Custom,Custom
Back,Voltar
ID,ID
SKU,SKU
No,Não
Action,Action
Reset,Reset
Edit,Editar
"Two and more slashes together are not permitted in request path","Two and more slashes together are not permitted in request path"
"Anchor symbol (#) is not supported in request path","O símbolo de âncora(#) não é suportado"
"Request Path for Specified Store","Request Path for Specified Store"
"Temporary (302)","Temporário (302)"
"Permanent (301)","Permanente (301)"
"Edit URL Rewrite for a Category","Editar URL Rewrite for a Category"
"Add URL Rewrite for a Category","Adicionar URL Rewrite for a Category"
"Category:","Categoria:"
"We can't set up a URL rewrite because the product you chose is not associated with a website.","We can't set up a URL rewrite because the product you chose is not associated with a website."
"We can't set up a URL rewrite because the category your chose is not associated with a website.","We can't set up a URL rewrite because the category your chose is not associated with a website."
"Edit URL Rewrite for a Product","Edita URL Rewrite for a Product"
"Add URL Rewrite for a Product","Adicionar URL Rewrite for a Product"
"Product:","Produto:"
"Skip Category Selection","Pular seleção de categoria"
"Name","Nome"
"Status","Status"
"Edit URL Rewrite for CMS page","Editar URL Rewrite for CMS page"
"Add URL Rewrite for CMS page","Adicionar URL Rewrite for CMS page"
"CMS page:","CMS page:"
"Chosen cms page does not associated with any website.","A página de cms escolhida não esta associado a nenhum website."
"Title","Título"
"URL Key","URL Key"
"Store View","Store View"
"Edit URL Rewrite","Editar URL Rewrite"
"Add New URL Rewrite","Adicinar New URL Rewrite"
"Delete","Deletar"
"Are you sure you want to do this?","Você tem certeza que desja fazer isso?"
"Save","Salvar"
"Block Information","Informação Bloco"
"URL Rewrite Information","URL Rewrite Information"
"Request Path","Request Path"
"Target Path","Target Path"
"Redirect","Redirecionamento"
"Description","Descrição"
"Store","Loja"
"URL Rewrite Management","URL Rewrite Management"
"Add URL Rewrite","Adicionar URL Rewrite"
"For category","Para categoria"
"For product","Para produto"
"For CMS page","Para página de CMS"
"Create URL Rewrite:","Create URL Rewrite:"
"URL Rewrites","URL Rewrites"
"[New/Edit] URL Rewrite","[New/Edit] URL Rewrite"
"The URL Rewrite has been saved.","O redirecionamento de url foi salvo."
"An error occurred while saving URL Rewrite.","Um erro ocorreu enquando estava salvando o redicionato de URL."
"The URL Rewrite has been deleted.","O redirecionamento de url foi removido."
"An error occurred while deleting URL Rewrite.","Um erro ocorreu enquanto estava deletando o redirecionamento de URL."
"Select Category","Selecionar Categoria"
"Options","Opções"
"Redirect Type","Tipo de Redirecionamento"
