All,Todos
Custom,Personalizado
"Resource Access","Acesso aos recursos"
Resources,Recursos
API,API
"Internal Error. Details are available in Magento log file. Report ID: %1","Erro Interno. Os detalhes estão no arquivo de log do magento. Report ID: %1"
"Server internal error. See details in report api/%1","Erro interno do servidor. See details in report api/%1"
"Magento is not yet installed","Magento não está instalado"
"Operation allowed only in HTTPS","Operação só é permitida em HTTPS"
"Content-Type header is empty.","Content-Type header está vazio."
"Content-Type header is invalid.","Content-Type header invalido."
"UTF-8 is the only supported charset.","Somente charset UTF-8 é suportado."
"Request method is invalid.","Request method is invalid."
"Decoding error.","Decoding error."
"Decoding error: %1%2%3%4","Decoding error: %1%2%3%4"
"Server cannot match any of the given Accept HTTP header media type(s) from the request: %1 with media types from the config of response renderer.", "Server cannot match any of the given Accept HTTP header media type(s) from the request: %1 with media types from the config of response renderer."
"Request does not match any route.","Requisição não combina com nenhuma rota."
"Not allowed parameters: %1. Please use only %2 and %3.","Parametros não permitidos: %1. Use somente %2 e %3."
"Incorrect format of WSDL request URI or Requested services are missing.","Formato incorreto da URI do WSDL ou Serviços estão desativados."
"Operation ""%1"" not found.","Operação ""%1"" não encontrada."
"Requested service is not available: ""%1""","Serviço não está disponivel: ""%1"""
"Invalid XML","XML inválido"
"Invalid XML: Detected use of illegal DOCTYPE","XML inválido: tipo de DOCTYPE inválido"
"No permissions requested","No permissions requested"
"Available APIs","APIs Disponíveis"
"Magento Web API","Magento Web API"
"SOAP Settings","Configuração SOAP"
"Default Response Charset","Default Response Charset"
"If empty, UTF-8 will be used.","Se estiver vazio, será usado UTF-8."
"Enable WSDL Cache","Ativar WSDL Cache"
"Web Services Configuration","Configurações de Web Services"
"REST and SOAP configurations, generated WSDL file.","REST and SOAP configurations, generated WSDL file."
"Integrations API Configuration","Configuraçao da API de integração "
"Integrations API configuration file.","Integrations API configuration file."
