Quantity,Quantidade
Configure,Configurar
"You added %1 to your shopping cart.","Você adicionou %1 ao seu carrinho."
"Are you sure that you want to remove this item?","Você quer mesmo remover esse item?"
"Remove item","Remover item"
"Add to Cart","Adicionar ao carrinho"
Delete,Excluir
Enabled,Habilitado
"We cannot add this item to your shopping cart.","Esse item não pode ser adicionado ao seu carrinho."
"* Required Fields","* Campos obrigatórios"
Availability,Disponibilidade
"In stock","Em estoque"
"Out of stock","Esgotado"
"Click for price","Clique para ver o preço"
"What's this?","O que é isso?"
"1 item","1 item"
"%1 items","%1 itens"
"Add to Wishlist","Adicionar à lista de desejos"
"Remove This Item","Remover esse item"
"Add to Compare","Adicionar à comparação"
"The product does not exist.","Esse produto não existe."
"Display item quantities","Exibir quantidade"
"View Details","Ver detalhes"
"Options Details","Detalhes"
Comment,Comentar
"Add Locale","Add Locale"
"Add Date","Add Date"
"Days in Wish List","Dias na sua lista"
Wishlist,Lista de desejos
"Wish List","Lista de desejos"
"Wish Lists","Listas de desejos"
Message,Mensagem
"Email Template","Template de email"
"Remove Item","Remover item"
"Sharing Information","Sharing Information"
"This product(s) is out of stock.","Esse produto está fora de estoque."
"An item option with code %1 already exists.","An item option with code %1 already exists."
"%1's Wish List","%1's Lista de desejos"
"Product(s) %1 have required options. Each product can only be added individually.","Product(s) %1 have required options. Each product can only be added individually."
"%1 product(s) have been added to shopping cart: %2.","%1 produto(s) adicionados ao carrinho: %2."
"Please input a valid email address.","Por favor insira um email válido."
"RSS Feed","RSS Feed"
"Wish List Sharing","Wish List Sharing"
"My Wish List","Minha lista de desejos"
"%1 for ""%2"".","%1 para ""%2""."
"We couldn't add the following product(s) to the shopping cart: %1.","Não podemos adicionar o(s) seguinte(s) produto(s) ao carrinho: %1."
"We can't update wish list.","Não podemos atualizar a sua lista de desejos."
"The requested wish list doesn't exist.","A lista de desejos solicitada não existe."
"Wish List could not be created.","Lista de desejos não pôde ser criada."
"We can't specify a product.","Não podemos especificar o produto."
"%1 has been added to your wishlist. Click <a href=""%2"">here</a> to continue shopping.","%1 foi adicionado à sua lista. Clique <a href=""%2"">aqui</a> para continuar comprando."
"An error occurred while adding item to wish list: %1","Houve um erro ao adicionar um produto na lista: %1"
"An error occurred while adding item to wish list.","Houve um erro ao adicionar um produto na lista."
"We can't load the wish list item.","Não podemos carregar o item da sua lista."
"We can't configure the product.","We can't configure the product."
"%1 has been updated in your wish list.","%1 foi atualizado na sua lista."
"An error occurred while updating wish list.","Houve um erro ao atualizar a sua lista."
"Can't delete item from wishlist","Não pode deletar um item da sua lista"
"Can't save description %1","Não pode salvar descrição %1"
"Can't update wish list","Não pode atualizar a lista"
"An error occurred while deleting the item from wish list: %1","Houve um erro enquanto apagamos um item da lista: %1"
"An error occurred while deleting the item from wish list.","Houve um erro enquanto apagamos um item da lista."
"Cannot add item to shopping cart","Não podemos adicionar item à lista"
"The requested cart item doesn't exist.","O item solicitado não existe no carrinho."
"%1 has been moved to your wish list.","%1 foi movido para a sua lista."
"We can't move the item to the wish list.","Não podemos mover o item pra lista."
"Message length must not exceed %1 symbols","O tamanho da mensagem não pode exceder %1 caracteres"
"Email address can't be empty.","O endereço de email não pode ser vazio."
"This wishlist can be shared %1 more times.","Essa lista não pode ser compartilhada mais %1 vez(es)."
"Your wish list has been shared.","A sua lista foi compartilhada."
"Please enter your comments.","Digite seu comentário."
"Display number of items in wish list","Exibir número de itens na lista"
"We can't specify a wish list.","Não podemos especificar a lista."
"Cannot specify product.","Não podemos especificar o produto."
"Invalid item option format.","Invalid item option format."
"We can't specify a wish list item.","Não podemos especificar o item da lista."
"Share Wish List","Compartilhar lista"
"Add All to Cart","Adicionar tudo ao carrinho"
"Update Wish List","Atualizar lista"
"View Product","Ver produto"
"RSS link to %1's wishlist","RSS para %1's lista"
"This Wish List has no Items","Essa lista está vazia"
"Wish List is empty now.","A lista está vazia"
"Email addresses, separated by commas","Email, separado por virgula"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Marque esse campo se você quiser adicionar o link para o RSS da sua lista."
"Share Wishlist","Compartilhar lista"
"Last Added Items","Últimos itens adicionados"
"Go to Wish List","Ir para a lista"
"You have no items in your wish list.","Você não tem produtos na sua lista."
"Are you sure you want to remove this product from your wishlist?","Você quer mesmo remover esse produto da sua lista?"
"Email Sender","Remetente"
"General Options","General Options"
"Share Options","Share Options"
"Max Emails Allowed to be Sent","Máximo de emails permitidos para envio"
"10 by default. Max - 10000","10 por padrão. Max - 10000"
"Email Text Length Limit","Email Text Length Limit"
"255 by default","255 por padrão"
"My Wish List Link","Link da minha lista"
"Display Wish List Summary","Exibir resumo da lista"
"No Items Found","Nenhum item encontrado"
"User Description","Descrição do usuário"
"Product Details and Comment","Detalhe e comentário do produto"
"Add to Wish List", "Lista de desejos"
